Manufacturer,count,Manufacturer_ID,simple_manufacturer
Caremed Supply Inc,3,544,caremed supply
Cereplas,3,545,cereplas
Cimpax,3,546,cimpax
Codan Medizinische Gerate GmbH & Co KG,3,547,codan medizinische gerate gmbh kg
Contract Medical International GmbH,3,548,contract gmbh
Cooper Surgical Inc,3,549,cooper
CooperVision Manufacturing Ltd T/a Aspect Vision Care - CL Tinters - Hydron - Ocular Sciences,3,550,coopervision manufacturing t a aspect vision care cl tinters hydron ocular sciences
Creganna Tactx Medical,3,551,creganna tactx
DePuy France,3,552,depuy france
Depuy France SA,3,553,depuy france sa
Depuy International Ltd T/A Depuy Cmw,3,554,depuy t a depuy cmw
Depuy Ireland Ltd,3,555,depuy ireland
DePuy Mitek,3,556,depuy mitek
DePuy Mitek Inc,3,557,depuy mitek
"DePuy Orthopaedic, Inc",3,558,depuy orthopaedic
Draeger Medical Systems Inc,3,559,draeger
Ellipse Technologies Inc,3,560,ellipse technologies
Eska Implants GmbH and Co,3,561,eska implants gmbh and
Establishment Labs SA,3,562,establishment labs sa
ev3 Inc,3,563,ev3
Exact Diagnostics LLC,3,564,exact diagnostics
Fenwal Inc,3,565,fenwal
Fresenius Medical Care (Jiangsu) Co Ltd,3,566,fresenius care jiangsu
Fresenius Vial,3,567,fresenius vial
Gambro Medical Products Co Ltd,3,568,gambro
GE Medical Systems LLC,3,569,ge
Gerontic & General Products Pty Ltd,3,570,gerontic general
GN Otometrics AS,3,571,gn otometrics as
Gruppo Bioimplanti SRL,3,572,gruppo bioimplanti srl
Hanscent Ningbo Co Ltd,3,573,hanscent ningbo
Heartware,3,574,heartware
HeartWare Inc.,3,575,heartware
Henan Hexin Hengda Industrial Co Ltd.,3,576,henan hexin hengda industrial
High Technology Products SL - Cocoon Medical,3,577,high sl cocoon
Imaging Sciences International Inc,3,578,imaging sciences
Inpeco SA,3,579,inpeco sa
JMS Singapore Pte Ltd,3,580,jms singapore pte
LeMaitre Vascular Inc,3,581,lemaitre vascular
Lenstec Barbados Inc,3,582,lenstec barbados
Leventon SAU,3,583,leventon sau
Lima Corporate S.P.A.,3,584,lima corporate s p a
LivaNova Canada Corp.,3,585,livanova canada corp
Lutonix Inc,3,586,lutonix
MD Medical Clinic Ltd,3,587,md clinic
MED-EL Elektromedizinische Geräte GmbH,3,588,med el elektromedizinische ger te gmbh
Medibo Medical Products NV,3,589,medibo nv
Medtronic Advanced Energy LLC,3,590,medtronic advanced energy
Medtronic CryoCath LP,3,591,medtronic cryocath lp
Merz Aesthetics Inc,3,592,merz aesthetics
Micro Therapeutics Inc DBA ev3 Neurovascular,3,593,micro therapeutics dba ev3 neurovascular
Microaire Surgical Instruments LLC,3,594,microaire instruments
Mortara Instruments Inc,3,595,mortara instruments
Nakanishi Inc,3,596,nakanishi
Nantong Egens Biotechnology Co Ltd,3,597,nantong egens biotechnology
Neotract Inc,3,598,neotract
Nova Orthopaedic & Rehabilitation Appliances Inc,3,599,nova orthopaedic rehabilitation appliances
Novis Industrial Co Ltd,3,600,novis industrial
NxStage Medical Inc,3,601,nxstage
Obtech Medical Sarl,3,602,obtech sarl
Oculentis BV,3,603,oculentis bv
Optonol Limited,3,604,optonol
Origio A/S,3,605,origio a s
Ortho-Clinical Diagnostics Inc,3,606,ortho clinical diagnostics
Otto Bock Healthcare GmbH & Co,3,607,otto bock gmbh
Permedica SPA,3,608,permedica spa
Pivot Medical,3,609,pivot
Prima Medical Ltd,3,610,prima
Prius Healthcare Solution (Shanghai) Ltd,3,611,prius solution shanghai
PVB Critical Care GmbH,3,612,pvb critical care gmbh
Respironics California Inc,3,613,respironics california
Salter Labs,3,614,salter labs
Securmed SPA,3,615,securmed spa
Smith & Nephew Inc Wound Management Division,3,616,smith nephew wound management division
Smith & Nephew Inc Wound Management Divison,3,617,smith nephew wound management divison
Southern Cross Hospital Supplies,3,618,southern cross hospital supplies
Spiration Inc,3,619,spiration
StarMedTec GmbH,3,620,starmedtec gmbh
Symmetry Surgical,3,621,symmetry
Terumo Medical Corporation,3,622,terumo
Terumo Penpol Limited,3,623,terumo penpol
The Laryngeal Mask Company Limited,3,624,the laryngeal mask company
Tissue Science Laboratories plc,3,625,tissue science laboratories plc
Valleylab Inc (A Division of Tyco Healthcare Group LP),3,626,valleylab a division of tyco group lp
Varian Medical Systems Inc,3,627,varian
Vascutek Ltd a Terumo Company,3,628,vascutek a terumo company
Vbm Medizintechnik GmbH,3,629,vbm medizintechnik gmbh
Vitatron BV,3,630,vitatron bv
Weihai Wego Qiquan Medical Devices Co Ltd,3,631,weihai wego qiquan devices
Well Lead Medical Co Ltd,3,632,well lead
WickiMed Medical Equipment Manufacturing Co Ltd.,3,633,wickimed equipment manufacturing
Zimmer CAS,3,634,zimmer cas
Zimmer Spine Inc,3,635,zimmer spine
3M Deutschland GmbH,2,636,3m deutschland gmbh
7 Med Industrie,2,637,7 med industrie
A & I Industries,2,638,a i
A L N,2,639,a l n
AAXIS Medical Products SIP Co Ltd,2,640,aaxis sip
Abbott Labs Diagnostic Division,2,641,abbott labs diagnostic division
Adler Ortho SpA,2,642,adler ortho spa
Adler Ortho Srl,2,643,adler ortho srl
Advanced Medical Design International LLC,2,644,advanced design
Advanced Medical Solutions Plymouth Ltd,2,645,advanced solutions plymouth
Advanced Sterilization Products,2,646,advanced sterilization
ADVANCED STERILIZATION PRODUCTS,2,647,advanced sterilization
Aircraft Medical Ltd,2,648,aircraft
Alcon INC,2,649,alcon
Alcon Inc.,2,650,alcon
Alcon Ireland,2,651,alcon ireland
Alcon Irvine Technology Center,2,652,alcon irvine center
Alcon-Grieshaber AG,2,653,alcon grieshaber ag
Allegro Concepts Pty Ltd,2,654,allegro concepts
Allergan Australia Pty Ltd,2,655,allergan australia
Allergan Ltd,2,656,allergan
Allergan Pharmaceuticals Ireland,2,657,allergan pharmaceuticals ireland
Alrick Manufacturing and Imports,2,658,alrick manufacturing and imports
American Medical Systems Innovation Centre,2,659,american innovation centre
Amsino International Inc,2,660,amsino
Ansell Healthcare Europe NV,2,661,ansell europe nv
Arcomed AG,2,662,arcomed ag
Arizant Healthcare Inc,2,663,arizant
ArjoHuntleigh,2,664,arjohuntleigh
ArjoHuntleigh Inc,2,665,arjohuntleigh
Ascension Orthopaedics Inc,2,666,ascension orthopaedics
Atom Medical Corporation,2,667,atom
Augustine Biomedical & Design LLC,2,668,augustine biomedical design
B Braun Medical AG,2,669,b braun ag
Balt Extrusion,2,670,balt extrusion
Barrx Medical Inc,2,671,barrx
Baxter SA (Lessines),2,672,baxter sa lessines
Benoist Girard (France),2,673,benoist girard france
Bentley InnoMed GmbH,2,674,bentley innomed gmbh
Bien Air Surgery SA,2,675,bien air surgery sa
Bio-Rad,2,676,bio rad
Biomerics,2,677,biomerics
Biomerieux SA,2,678,biomerieux sa
Biomet Trauma,2,679,biomet trauma
Boddingtons Plastics Ltd,2,680,boddingtons plastics
Budelpack Copackers BV,2,681,budelpack copackers bv
CarboFix Orthopedics Ltd,2,682,carbofix orthopedics
Carestream Health Inc,2,683,carestream health
Catheter Research Inc,2,684,catheter research
Cellplex Pty Ltd,2,685,cellplex
Changzhou Waston Medical Applications Co Ltd,2,686,changzhou waston applications
Church & Dwight Co Inc,2,687,church dwight
CIVCO Medical Solutions Inc,2,688,civco solutions
Cochlear,2,689,cochlear
Cochlear Ltd.,2,690,cochlear
"CODMAN & SHURTLEFF, INC",2,691,codman shurtleff
Codman and Shurtleff Inc.,2,692,codman and shurtleff
ConMed Linvatec Biomaterials Ltd,2,693,conmed linvatec biomaterials
Cosman Medical LLC,2,694,cosman
Covidien LLC,2,695,covidien
Croma GmbH,2,696,croma gmbh
Denyers Pty Ltd T/a Denyers International,2,697,denyers t a denyers
DePuy France SAS,2,698,depuy france sas
DEPUY INTERNATIONAL,2,699,depuy
"Depuy International, Ltd",2,700,depuy
Depuy Orthopaedic Inc (USA),2,701,depuy orthopaedic usa
DEPUY ORTHOPAEDICS,2,702,depuy orthopaedics
DePuy Orthopaedics Inc,2,703,depuy orthopaedics
DeRoyal Industries Inc,2,704,deroyal
Diagnostic Grifols SA,2,705,diagnostic grifols sa
DiaMex GmbH,2,706,diamex gmbh
Diva International Inc,2,707,diva
DJO LLC,2,708,djo
Dornier MedTech GmbH,2,709,dornier medtech gmbh
ELA Medical,2,710,ela
Endologix International Holding BV,2,711,endologix holding bv
Etac AS Etac Supply Gjovik,2,712,etac as etac supply gjovik
Ethicon Endo-Surgery,2,713,ethicon endo surgery
F Stephan GmbH,2,714,f stephan gmbh
Flaem Nuova SPA,2,715,flaem nuova spa
Flen Pharma NV,2,716,flen pharma nv
Fluoron GmbH,2,717,fluoron gmbh
Forme Medical Pty Ltd,2,718,forme
Fresenius Vial SA,2,719,fresenius vial sa
Gambro Dasco SpA Sondalo Plant,2,720,gambro dasco spa sondalo plant
Gambro Lundia AB,2,721,gambro lundia ab
GE Medical Systems Israel Ltd,2,722,ge israel
Gebr Brasseler GmbH & Co KG,2,723,gebr brasseler gmbh kg
Getinge Disinfection AB,2,724,getinge disinfection ab
Global Manufacturing Technology,2,725,global manufacturing
Global Manufacturing Technology (Australia),2,726,global manufacturing australia
Globus Medical Inc,2,727,globus
GMS (Gesell Medizin Sondete),2,728,gms gesell medizin sondete
Hamilton Med AG,2,729,hamilton med ag
Hangzhou MedStar Technology Co Ltd,2,730,hangzhou medstar
Hansen Medical Inc,2,731,hansen
Haupt Pharma Wolfratshausen GmbH,2,732,haupt pharma wolfratshausen gmbh
Heine Optotechnik GmbH & Co KG,2,733,heine optotechnik gmbh kg
Hill-Rom De Mexico,2,734,hill rom de mexico
Hill-Rom Industries SA,2,735,hill rom sa
Hillrom-Hillenbrand,2,736,hillrom hillenbrand
Hitachi High-Technologies Co,2,737,hitachi high technologies
Howard Wright Limited (NZ),2,738,howard wright nz
Huntleigh Technology Pty Ltd,2,739,huntleigh
Huzhuo Dragon Wise Fashion Co Ltd,2,740,huzhuo dragon wise fashion
HyperBranch Medical Technology Inc,2,741,hyperbranch
Imaxeon Pty Ltd,2,742,imaxeon
Incus Surgical Ltd,2,743,incus
Innomed Inc,2,744,innomed
Integra York PA Inc,2,745,integra york pa
International Techynidyne Corp (ITC),2,746,techynidyne corp itc
Invacare Medical Equipment Co Ltd,2,747,invacare equipment
Iridex Corporation,2,748,iridex
Iris Diagnostics,2,749,iris diagnostics
Jmac Industries,2,750,jmac
Johnson & Johnson Medical Pty Ltd,2,751,johnson johnson
Johnson & Johnson Sante Beaute France SAS,2,752,johnson johnson sante beaute france sas
Junten Keep-Warm Products Kunshan Co Ltd,2,753,junten keep warm kunshan
Kasios SAS,2,754,kasios sas
Kaz Europe Sarl,2,755,kaz europe sarl
Kenex Electro Medical Ltd,2,756,kenex electro
Key Pharmaceuticals Pty Ltd,2,757,key pharmaceuticals
Laerdal Medical AS,2,758,laerdal as
Latexx Manufacturing Sdn Bhd,2,759,latexx manufacturing sdn bhd
Life Healthcare Pty Ltd,2,760,life
LIMA CORPORATE S.P.A.,2,761,lima corporate s p a
LIMACORPORATE S.P.A.,2,762,limacorporate s p a
LimaCorporate SpA,2,763,limacorporate spa
Lovell Surgical Supplies International Pty Ltd,2,764,lovell supplies
Lucas Medical Inc,2,765,lucas
Lutronic Corporation,2,766,lutronic
M A Arain & Brothers (Pvt) Ltd,2,767,m a arain brothers pvt
Mac's Metalcraft Pty Ltd,2,768,mac s metalcraft
Max Mobility,2,769,max mobility
Medical Developments International Limited,2,770,developments
Meditech Systems Ltd,2,771,meditech
Medos International,2,772,medos
Medrad Inc,2,773,medrad
Medtronic Corevalve LLC,2,774,medtronic corevalve
Medtronic Tyrx Inc,2,775,medtronic tyrx
Megadyne Medical Products Inc,2,776,megadyne
Melcare Biomedical Pty Ltd,2,777,melcare biomedical
Merit Medical Australia Pty Ltd,2,778,merit australia
Merz North America Inc,2,779,merz north america
Mizuho OSI,2,780,mizuho osi
Natus Medical Inc,2,781,natus
Naveh Pharma Ltd,2,782,naveh pharma
NDI Medical LLC,2,783,ndi
NeoMetrics Inc,2,784,neometrics
Nikkiso Europe GmbH,2,785,nikkiso europe gmbh
Nipro Diagnostics Inc,2,786,nipro diagnostics
Nucletron BV,2,787,nucletron bv
NxThera Inc,2,788,nxthera
Oberon GmbH Fiber Technologies,2,789,oberon gmbh fiber technologies
OBTECH MEDICAL SARL,2,790,obtech sarl
ONBO Electronics Co Ltd,2,791,onbo electronics
Ormco Corporation,2,792,ormco
Orthodynamics GmbH,2,793,orthodynamics gmbh
OrthoPediatrics Co,2,794,orthopediatrics
Ossur Hf,2,795,ossur hf
Oventus Pty Ltd,2,796,oventus
Ovesco Endoscopy AG,2,797,ovesco endoscopy ag
Parker Hannifin Corporation Porter Instrument Division,2,798,parker hannifin porter instrument division
Paul Hartmann Pty Ltd,2,799,paul hartmann
Penlon Ltd,2,800,penlon
Pihsiang Machinery Mfg Co Ltd,2,801,pihsiang machinery mfg
Pioneer Surgical Technology,2,802,pioneer
Piramal Healthcare Canada Ltd Bio-Orthopaedics Division,2,803,piramal canada bio orthopaedics division
Pirrone SRL,2,804,pirrone srl
Poly Medicure Ltd,2,805,poly medicure
Precimed SA,2,806,precimed sa
Prodimed SAS - Division Plastimed,2,807,prodimed sas division plastimed
Pulmonx Inc,2,808,pulmonx
Pyng Medical Corporation,2,809,pyng
Qiagen GmbH,2,810,qiagen gmbh
R82 AS,2,811,r82 as
Respironics Respiratory Drug Delivery UK Ltd,2,812,respironics respiratory drug delivery uk
Rita Medical Systems Inc,2,813,rita
Roche Molecular Systems Inc,2,814,roche molecular
Rocket Medical Plc,2,815,rocket plc
RZ Medizintechnik GmbH,2,816,rz medizintechnik gmbh
Sanofi-Aventis Deutschland GmbH,2,817,sanofi aventis deutschland gmbh
SeaSpine Inc,2,818,seaspine
Select Medical Equipment Pty Ltd,2,819,select equipment
Septodont,2,820,septodont
SG Manufacturers,2,821,sg manufacturers
Siemens Medical Solutions USA Inc,2,822,siemens solutions usa
Sirona Dental Systems,2,823,sirona dental
Smith & Nephew Pty Ltd,2,824,smith nephew
St Jude Medical Inc,2,825,st jude
St Jude Medical Systems AB,2,826,st jude ab
STERIS Corporation,2,827,steris
Stryker Endoscopy a Division of Stryker Corporation,2,828,stryker endoscopy a division of stryker
Summit Medical Products Inc,2,829,summit
Swemac Innovation AB,2,830,swemac innovation ab
Synovis Surgical Innovations (A Div of Synovis Lif,2,831,synovis innovations a div of synovis lif
Terumo (Philippines) Corporation,2,832,terumo philippines
Terumo Cardiovascular Systems Corporation,2,833,terumo cardiovascular
The Anspach Effort Inc,2,834,the anspach effort
Theragenics Corporation,2,835,theragenics
Tontarra Medizintechnik GmbH,2,836,tontarra medizintechnik gmbh
Top Glove Sdn Bhd,2,837,top glove sdn bhd
Top-Bound Enterprise Co Ltd,2,838,top bound enterprise
Touchstone International Medical Science Co Ltd,2,839,touchstone science
Tyco Healthcare Group LP Nellcor Puritan Bennett Division,2,840,tyco group lp nellcor puritan bennett division
Ulrich GmbH & Co KG,2,841,ulrich gmbh kg
Uresil LLC,2,842,uresil
Veldana Medical SA,2,843,veldana sa
Veniti Inc,2,844,veniti
W & H Dentalwerk Burmoos GmbH,2,845,w h dentalwerk burmoos gmbh
W L Gore & Assoc Inc.,2,846,w l gore assoc
William A Cook Australia,2,847,william a cook australia
Willy Rusch GmbH,2,848,willy rusch gmbh
WOM World of Medicine GmbH,2,849,wom world of medicine gmbh
Woo Young Medical Co Ltd,2,850,woo young
Ypsomed AG,2,851,ypsomed ag
Zimmer Spine,2,852,zimmer spine
126554,1,853,126554
3-D Matrix Europe SAS,1,854,3 d matrix europe sas
3M Healthcare,1,855,3m
3M Medical Devices and Materials Manufacturing,1,856,3m devices and materials manufacturing
3M Unitek,1,857,3m unitek
A-Spine Asia Co Ltd,1,858,a spine asia
Abbott Laboratories,1,859,abbott laboratories
Abbott Point of Care Inc,1,860,abbott point of care
Abbott Vascular Abbott Vascular Inc,1,861,abbott vascular abbott vascular
Abbott Vascular Instruments Deutschland GmbH,1,862,abbott vascular instruments deutschland gmbh
Abbott Vascular-Cardiac Therapies,1,863,abbott vascular cardiac therapies
Abbott Vascular-Vascular Solutions,1,864,abbott vascular vascular solutions
Abiomed Europe GmbH,1,865,abiomed europe gmbh
Accriva dba International Technidyne Corporation ITC,1,866,accriva dba technidyne itc
Ace Medical Co Ltd,1,867,ace
Acon Biotech (Hangzhou) Co Ltd,1,868,acon biotech hangzhou
Acra-Cut Inc,1,869,acra cut
AcroMetrix Co,1,870,acrometrix
Active Optical Systems Ltd,1,871,active optical
AcuFocus Inc,1,872,acufocus
Acumed Instruments Inc,1,873,acumed instruments
ADEC Inc,1,874,adec
Advanced Bionics LLC,1,875,advanced bionics
Advanced Brain Monitoring,1,876,advanced brain monitoring
Advanced Sterilization Products a Johnson & Johnso,1,877,advanced sterilization a johnson johnso
Advanced Sterilization Products a Johnson & Johnson,1,878,advanced sterilization a johnson johnson
Advanced Sterilization Products a Johnson & Johnson Company Division of Ethicon,1,879,advanced sterilization a johnson johnson company division of ethicon
Advanced Vision Research Inc,1,880,advanced vision research
Agfa Gevaert NV (Belgium),1,881,agfa gevaert nv belgium
Aid United Yangzhou Medical Devices Co Ltd,1,882,aid united yangzhou devices
Airxpanders Inc,1,883,airxpanders
Albert Browne Ltd,1,884,albert browne
Alcon,1,885,alcon
Alcon - GPS,1,886,alcon gps
Alcon - Irvine Technology Centre,1,887,alcon irvine centre
Alcon Huntington,1,888,alcon huntington
Alcon Irvine Technology Centre,1,889,alcon irvine centre
Alcon Laboratories Houston,1,890,alcon laboratories houston
Alcon Laboratories Inc - Huntington,1,891,alcon laboratories huntington
Alcon Laboratories Inc-Houston,1,892,alcon laboratories inc houston
Alcon Laboratories Laboratories Pty Ltd,1,893,alcon laboratories laboratories
Alcon Laboratories Wavelight AG,1,894,alcon laboratories wavelight ag
Alcon Laboratories- Irvine Technology Center,1,895,alcon laboratories irvine center
Alcon Optonol Limited,1,896,alcon optonol
Alcove Medical Inc,1,897,alcove
Aldwin Paige Ltd,1,898,aldwin paige
"Alere Medical Co., Ltd.",1,899,alere
Alere San Diego,1,900,alere san diego
Allergan (Marlow),1,901,allergan marlow
Allergan Australia Pty. Ltd,1,902,allergan australia
Allied Healthcare Products Inc,1,903,allied
Alrick Manufacturing & Imports,1,904,alrick manufacturing imports
Altera Tibbi Malzeme San VE Tic AS,1,905,altera tibbi malzeme san ve tic as
ALung Technologies Inc,1,906,alung technologies
AM BI SRL,1,907,am bi srl
American Medical Systems Inc.,1,908,american
AMG Medical Inc,1,909,amg
Ami Agency For Medical Innovations GmbH,1,910,ami agency for innovations gmbh
Amnisure International LLC,1,911,amnisure
AMPLITUDE,1,912,amplitude
AMPLITUDE SAS,1,913,amplitude sas
Analytica Ltd,1,914,analytica
Andon Health Co Ltd,1,915,andon health
AngioDynamics Inc also trading as RITA Medical Systems,1,916,angiodynamics also trading as rita
Anhui Tiankang Medical Products Co Ltd,1,917,anhui tiankang
Anika Therapeutics Inc,1,918,anika therapeutics
Ansell NP Sdn Bhd T/a Ansell Malaysia Sdn Bhd Ansell Medical Sdn Bhd,1,919,ansell np sdn bhd t a ansell malaysia sdn bhd ansell sdn bhd
Apex Guangzhou Tools & Orthopedic Co,1,920,apex guangzhou tools orthopedic
Applied Medical Australia,1,921,applied australia
ArcRoyal,1,922,arcroyal
Ardo Medical AG,1,923,ardo ag
Ares Trading SA an Affiliate of Merck KGaA Darmstadt Germany,1,924,ares trading sa an affiliate of merck kgaa darmstadt germany
Aritech Inc,1,925,aritech
Arjo Hospital Equipment AB,1,926,arjo hospital equipment ab
Arkray Factory Inc,1,927,arkray factory
Arthrex GmBH,1,928,arthrex gmbh
Ascensia Diabetes Care Holdings AG,1,929,ascensia diabetes care holdings ag
Aspect Medical Systems Inc,1,930,aspect
Astra Tech AB,1,931,astra tech ab
AT-OS Srl,1,932,at os srl
Australian Comfort Group,1,933,australian comfort group
Australian Therapeutic Supplies Pty Ltd,1,934,australian therapeutic supplies
B Braun Medical Ltd (T/A Aesculap Downs Surgican & William Skidmore),1,935,b braun t a aesculap downs surgican william skidmore
B Braun Surgical SA,1,936,b braun sa
Baldwin Medical & Veterinary Devices (Australia) Pty Ltd,1,937,baldwin veterinary devices australia
Bard Medical Division,1,938,bard division
Barron Precision Instruments LLC,1,939,barron precision instruments
Bausch & Lomb Inc (United States of America),1,940,bausch lomb united states of america
Baxter Healthcare,1,941,baxter
Baxter Healthcare Corporation Cellular Therapies Division,1,942,baxter cellular therapies division
Bayer,1,943,bayer
Baylis Medical Company Inc,1,944,baylis company
BBI Solutions OEM Ltd,1,945,bbi solutions oem
Beckman Coulter,1,946,beckman coulter
Beckman Coulter Ireland,1,947,beckman coulter ireland
Beckman Coulter Ireland Inc,1,948,beckman coulter ireland
Beckman Coulter Mishima KK,1,949,beckman coulter mishima kk
Becton Dickinson and Company BD BD Diagnostic Systems,1,950,becton dickinson and company bd bd diagnostic
Becton Dickinson Industrias Cirurgicas Ltda,1,951,becton dickinson industrias cirurgicas ltda
Becton Dickinson Medical Systems,1,952,becton dickinson
Beijing ADSS Development Co Ltd,1,953,beijing adss development
Beijing Sincoheren Science and Technology Development Co Ltd,1,954,beijing sincoheren science and development
Bellco S.r.l.,1,955,bellco s r l
Benoist Girad,1,956,benoist girad
Berchtold GmbH & Co,1,957,berchtold gmbh
Besmed Health Business Corp,1,958,besmed health business corp
BHM Medical Inc,1,959,bhm
Bio-Technology General (Israel) Ltd,1,960,bio technology general israel
Biocompatibles UK Ltd,1,961,biocompatibles uk
Bioelectronics Corporation,1,962,bioelectronics
Bioflow Ltd,1,963,bioflow
bioMerieux SA,1,964,biomerieux sa
Biomet 3i LLC T/a Implant Innovations,1,965,biomet 3i t a implant innovations
Biomet Orthopaedics Inc,1,966,biomet orthopaedics
Biomet Orthopaedics Switzerland GmbH,1,967,biomet orthopaedics switzerland gmbh
Biomet Orthopedic Inc,1,968,biomet orthopedic
Biomet Spain,1,969,biomet spain
Biomet UK,1,970,biomet uk
Biorad Medisys Pvt Ltd,1,971,biorad medisys pvt
Biotech International,1,972,biotech
BIOTRONIK SE & Co. KG.,1,973,biotronik se kg
Blink Medical Ltd,1,974,blink
Blue Cross Bio-Medical Beijing Co Ltd,1,975,blue cross bio medical beijing
Boston Scientific CorporationInc,1,976,boston scientific corporationinc
BPR Medical Ltd,1,977,bpr
Brivant Limited,1,978,brivant
BSN medical (Aust.) Pty Ltd,1,979,bsn aust
BSN-Jobst GmbH,1,980,bsn jobst gmbh
C R Bard Inc.,1,981,c r bard
Cair LGL,1,982,cair lgl
Cameron Health Inc,1,983,cameron health
Cardia Pacemakers Inc,1,984,cardia pacemakers
CareFusion 209 Inc,1,985,carefusion 209
CareFusion USA,1,986,carefusion usa
Cascade Medical Enterprises UK Ltd,1,987,cascade enterprises uk
CBM Srl a socio unico,1,988,cbm srl a socio unico
Cefla SC,1,989,cefla sc
Changzhou Kanghui Medical Innovation Co Ltd,1,990,changzhou kanghui innovation
Chien Ti Enterprise Co Ltd,1,991,chien ti enterprise
China HuaMei Industrial Co Ltd,1,992,china huamei industrial
Citizen Systems Japan Co Ltd,1,993,citizen japan
ClearCorrect,1,994,clearcorrect
ClearPath Orthodontics Pvt Ltd,1,995,clearpath orthodontics pvt
Clement Clarke International Ltd,1,996,clement clarke
Cobes Industries Hefei Co Ltd,1,997,cobes hefei
Codman & Shurtleff INC,1,998,codman shurtleff
Coltene Whaledent Inc,1,999,coltene whaledent
Coltene/Whaledent AG,1,1000,coltene whaledent ag
Cominox srl,1,1001,cominox srl
Conod Medical Co Ltd,1,1002,conod
Consensus Orthopedics,1,1003,consensus orthopedics
Consultronix SA,1,1004,consultronix sa
Convatec Ltd,1,1005,convatec
Cook Biotech Incorporation,1,1006,cook biotech incorporation
Cook Urological Incorporated,1,1007,cook urological
Cook Vascular Incorporated,1,1008,cook vascular
CooperVision Manufacturing Ltd also trading as Aspect Vision Holdings Ltd CooperVision CooperVision Ltd Hydron and Sauflon Pharmaceuticals Ltd,1,1009,coopervision manufacturing also trading as aspect vision holdings coopervision coopervision hydron and sauflon pharmaceuticals
Corinthian Surgical Ltd,1,1010,corinthian
Corpak MedSystems Inc,1,1011,corpak medsystems
Cortex Dental Implants Industries Ltd,1,1012,cortex dental implants
Covidien IIc,1,1013,covidien iic
Covidien IIC,1,1014,covidien iic
Covidien llc (Formerly known as Tyco),1,1015,covidien formerly known as tyco
Covidien lnc,1,1016,covidien lnc
Covidien Pty ltd,1,1017,covidien
Covidien Pyt Ltd,1,1018,covidien pyt
Creganna-Tactx Medical,1,1019,creganna tactx
Cyclomedica Australia Pty Ltd,1,1020,cyclomedica australia
CyDen Limited,1,1021,cyden
Dako North America Inc,1,1022,dako north america
Dalcross Medical Equipment,1,1023,dalcross equipment
Dansac AS,1,1024,dansac as
Darco International Inc,1,1025,darco
dB Sonic Pty Ltd,1,1026,db sonic
Deerfield Imaging Inc,1,1027,deerfield imaging
Defibtech Llc,1,1028,defibtech
Degania Silicone Limited,1,1029,degania silicone
Dentsply Caulk,1,1030,dentsply caulk
Dentsply Sirona Pty Ltd,1,1031,dentsply sirona
Deputy International Ltd,1,1032,deputy
DePuy (Ireland),1,1033,depuy ireland
DEPUY INT UK T/A DEPUY CMW,1,1034,depuy int uk t a depuy cmw
DePuy International LTD,1,1035,depuy
DePuy International Ltd.,1,1036,depuy
DePuy Ireland Ltd,1,1037,depuy ireland
DePuy Ireland UC,1,1038,depuy ireland uc
Depuy Mitek,1,1039,depuy mitek
Depuy Orhtopaedic Inc,1,1040,depuy orhtopaedic
Depuy Orthopaedics Inc (USA),1,1041,depuy orthopaedics usa
DePuy Spine SARL,1,1042,depuy spine sarl
Deroyal Industries,1,1043,deroyal
Devilbiss Healthcare (USA),1,1044,devilbiss usa
DGH Technology Inc,1,1045,dgh
Diamed GmbH,1,1046,diamed gmbh
DiaSpect Medical GmbH,1,1047,diaspect gmbh
Discus Dental LLC,1,1048,discus dental
Dispo-Med (Malaysia) Sdn Bhd,1,1049,dispo med malaysia sdn bhd
Dmg Chemisch-Pharmazeutische Fabrik GmbH,1,1050,dmg chemisch pharmazeutische fabrik gmbh
Dongguan Maikang Electric Appliance Co Ltd,1,1051,dongguan maikang electric appliance
DORC International B.V,1,1052,dorc b v
DT Davis Enterprises Ltd,1,1053,dt davis enterprises
Duckworth & Kent Ltd,1,1054,duckworth kent
Durr Dental AG,1,1055,durr dental ag
Eagle Health Supplies,1,1056,eagle health supplies
Eagle Vision Inc,1,1057,eagle vision
Earthecco Pty Ltd,1,1058,earthecco
Ego Pharmaceuticals pty Ltd,1,1059,ego pharmaceuticals
Eizo Corporation,1,1060,eizo
EKOS Corporation,1,1061,ekos
Elekta Instrument AB,1,1062,elekta instrument ab
Elmdown Srl Unipersonale,1,1063,elmdown srl unipersonale
Emerald Nonwovens International Co Ltd,1,1064,emerald nonwovens
EMS Electro Medical Systems SA,1,1065,ems electro sa
Encore Medical LP,1,1066,encore lp
EndoChoice,1,1067,endochoice
Endologix (TriVascular Inc),1,1068,endologix trivascular inc
Endologix Inc,1,1069,endologix
Endoscopic Technologies Inc dba Estech,1,1070,endoscopic technologies dba estech
Ensign Laboratories Pty Ltd,1,1071,ensign laboratories
Enterix Pty Ltd,1,1072,enterix
Enztec Limited (NZ),1,1073,enztec nz
Esco Industries Pty Ltd,1,1074,esco
ESI Inc,1,1075,esi
Estar Electronic Co Ltd,1,1076,estar electronic
Ethicon Endo-Surgery Inc,1,1077,ethicon endo surgery
Ethicon Inc t/a Gynecare Johnson & Johnson Wound M,1,1078,ethicon t a gynecare johnson johnson wound m
