Level 1 Term,Level 2 Term,Level 3 Term,Code,Definition,Non-IMDRF Code/Term,Status,Status Description,CodeHierarchy
,,Display Difficult to Read,A090202,"Problem associated with legibility of the display, compromising for instance  the reading/interpretation of patient parameters or test results. Legibility problems can be due to color, size of font, display screen contrast or other factors.",,,,A09|A0902|A090202
,,Erratic or Intermittent Display,A090203,"A device does not consistently display the same message, result, reading, or image. e.g. the display might flicker, switch between readings or messages, or go completely blank for brief periods of time.",,,,A09|A0902|A090203
,,Image Display Error/Artifact,A090204,Problem with image display leading to corrupted images or readouts/measurement indications.,,,,A09|A0902|A090204
,,Image Orientation Incorrect,A090205,Problem associated with an incorrect image orientation on the device display.,,,,A09|A0902|A090205
,,No Display/Image,A090206,Problem associated with the absence of display or image.,,,,A09|A0902|A090206
,,No Visual Prompts/Feedback,A090207,Problem associated with the device ceasing to provide visual feedback.,,,,A09|A0902|A090207
,,Poor Quality Image,A090208,"Inadequate quality of an image or any visual representation displayed by the device, or output from the device.",,,,A09|A0902|A090208
,,Visual Prompts will not Clear,A090209,Problem with visual messages which continue to be displayed on/by the device after the appropriate action has been taken.,,,,A09|A0902|A090209
,Tactile Prompts/Feedback,,A0903,Problem with any deviation from the documented specifications of the device that relate to tactile feedback. e.g device vibrational prompt.,,,,A09|A0903
,,Inappropriate Tactile Prompt/Feedback,A090301,Problem with tactile feedback which does not guide a device user to the correct action.,,,,A09|A0903|A090301
,,No Tactile Prompts/Feedback,A090302,Problem associated with the device ceasing to provide tactile feedback.,,,,A09|A0903|A090302
,Energy Output Problem,,A0904,Problem with the device's intended output of energy.,,,,A09|A0904
,,Energy Spectrum Incorrect,A090401,Problem associated with the energy output from the device not being in the expected part of the spectrum.,,,,A09|A0904|A090401
,,Failure to Deliver Energy,A090402,Problem associated with the failure of the device to deliver any energy.,,,,A09|A0904|A090402
,,Intermittent Energy Output,A090403,Problem associated with the energy output from the device being inconsistent over time.,,,,A09|A0904|A090403
,,Output above Specifications,A090404,Device output is exceeding the documented specifications of the device.,,,,A09|A0904|A090404
,,Output below Specifications,A090405,Device output is below the documented specifications of the device.,,,,A09|A0904|A090405
,,Therapeutic or Diagnostic Output Failure,A090406,Problem associated with the failure of the device to deliver the output required for treatment or identification of a disease.,,,,A09|A0904|A090406
,,Therapy Delivered to Incorrect Body Area,A090407,Problem associated with the device causing unintended therapeutic action to an area of the body other than the intended area.,,,,A09|A0904|A090407
,Radiation Output Problem,,A0905,Problem with the device's intended output of radiation.,,,,A09|A0905
,,Radiation Output Failure,A090501,Problem associated with the absence of radiation output from radiological or diagnostic devices.,,,,A09|A0905|A090501
,,Radiation Overexposure,A090502,Problem associated with excessive radiation emitted from radiological or diagnostic devices.,,,,A09|A0905|A090502
,,Radiation Underexposure,A090503,Problem associated with too little radiation emitted from radiological or diagnostic devices.,,,,A09|A0905|A090503
,,Unexpected/Unintended Radiation Output,A090504,"Device-emitted radiation when it was not supposed to. This applies to devices which are intended to emit radiation, and the radiation being emitted from the correct part of the device, but at an incorrect time. Use ""radiation leak"" if the device emits radiation which should never have been emitted, or from a location from which it should never be emitted.",,,,A09|A0905|A090504
,Gas Output Problem,,A0906,Problem associated with gas output.,,,,A09|A0906
,No Device Output,,A0907,"Problem associated with no measurement outcome, value or data obtained from the device.",,,,A09|A0907
,"Incorrect, Inadequate or Imprecise Result or Readings",,A0908,"Problem associated with a nonconforming end result, data, or test results provided by the device to its performance specifications.",,Modified (editorial),Editorial change to the term on 16 Feburary 2021.,A09|A0908
,,Signal Artifact/Noise,A090801,Problem associated with impurities or interference in a signal (e.g. ECG artifact).,,Modified (technical),Technical change to the term on 18 March 2020 to include signal noise.,A09|A0908|A090801
,,Failure to Obtain Sample,A090802,The device does not collect or transfer the sample.,,,,A09|A0908|A090802
,,False Negative Result,A090803,Problem associated with the device incorrectly reporting that something has not been detected and may mislead the operator into not taking certain actions when action should be taken.,,,,A09|A0908|A090803
,,False Positive Result,A090804,Problem associated with the device incorrectly reporting that something has been detected and may mislead the operator to take certain actions.,,,,A09|A0908|A090804
,,Incorrect Measurement,A090805,Measurement obtained from or provided by the device is obviously incorrect.,,,,A09|A0908|A090805
,,Non Reproducible Results,A090806,Device results cannot be reliably reproduced.,,,,A09|A0908|A090806
,,High Readings,A090807,Reading provided by the device is too high or higher than expected.,,,,A09|A0908|A090807
,,Low Readings,A090808,Reading provided by the device is too low or lower than expected.,,,,A09|A0908|A090808
,,High Test Results,A090809,Test results provided by the device are too high or higher than expected.,,,,A09|A0908|A090809
,,Low Test Results,A090810,Test results provided by the device are too low or lower than expected.,,,,A09|A0908|A090810
,,Unable to Obtain Readings,A090811,The device does not provide or display a valid reading.,,,,A09|A0908|A090811
,,Missing Test Results,A090812,Problem associated with the results of a test or measurement not appearing.,,,,A09|A0908|A090812
,,Erratic Results,A090813,Reports of erroneous/discrepant results which combine high/low and/or positive/negative results. This term is not to be selected where reports indicate consistently high or low or false positive or false negative results.,,New,"Term was added on 18 March 2020 as an additional level 3 term to ""Incorrect, Inadequate or Imprecise Results or Readings"".",A09|A0908|A090813
,Unexpected Therapeutic Results,,A0909,Problem associated with the use of the device for therapeutic purposes.,,,,A09|A0909
Temperature Problem,,,A10,Problem associated with the device producing unintended temperatures.,,,,A10
,Excessive Cooling,,A1001,Problem associated with the device producing temperatures that are lower than specified.,,,,A10|A1001
,Excessive Heating,,A1002,"Problem associated with the device which have a warming or heating function, producing excessive heat.",,,,A10|A1002
,Insufficient Cooling,,A1003,Problem associated with the device insufficiently cooled in device active (working) or/and non-active (nonworking) state.,,,,A10|A1003
,Insufficient Heating,,A1004,Problem associated with the device or its components producing temperatures that are not as high as what is specified.,,,,A10|A1004
,Overheating of Device,,A1005,"Problem associated with the device producing high temperatures, such that its operation is compromised or harm is caused (e.g. overheating that produces melting of components or automatic shutdown).",,,,A10|A1005
,Thermal Decomposition of Device,,A1006,Problems associated with a discoloration or destruction as a result of thermal decomposition of the device.,,,,A10|A1006
,Fire,,A1007,Problem associated with the combustion of the device with a steady flame.,,,,A10|A1007
,Flare or Flash,,A1008,Problem associated with device-related burn with an unsteady flame.,,,,A10|A1008
,Smoking,,A1009,"Problem associated with a cloud of vapor or gas generated from the device, generally associated after a fire or a burn.",,,,A10|A1009
Computer Software Problem,,,A11,"Problem associated with written programs, codes, and/or software system that affects device performance or communication with another device.",,,,A11
,Application Network Problem,,A1101,Problem associated with the deviations from documented system specifications that affects overall system performance and/or the performance of an individual device connected to that system.,,,,A11|A1101
,Application Program Problem,,A1102,Problem associated with the requirement for software to fulfill its function within an intended use or application.,,,,A11|A1102
,,"Application Program Freezes, Becomes Nonfunctional",A110201,Problem associated with freezing and becoming nonfunctional of an application program.,,,,A11|A1102|A110201
,,Application Program Problem: Dose Calculation Error,A110202,Problem associated with the written program code or application software used by the device to calculate specific measurements or quantities managed by the device.,,,,A11|A1102|A110202
,,Application Program Problem: Medication Error,A110203,Event in which the device software results in errors of medication preparation or administration.,,,,A11|A1102|A110203
,,Application Program Problem: Parameter Calculation Error,A110204,Problem associated with the written program code or application software used by the device to calculate parameters other than those related to dose or power.,,,,A11|A1102|A110204
,,Application Program Problem: Power Calculation Error,A110205,Problem associated with the written program code or application software used by the device for calculations related to device power.,,,,A11|A1102|A110205
,,Application Program Version or Upgrade Problem,A110206,Problem associated with installing updates to a software system that affects the device performance or communication with another device.,,,,A11|A1102|A110206
,,Problem with Software Installation,A110207,Problem associated with installing the device software in a manner that allows full functioning of the device. Source of installation could be manufacturer or user.,,,,A11|A1102|A110207
,,Unintended Application Program Shut Down,A110208,Problem associated with an unintended shut down by malfunction of the application program.,,,,A11|A1102|A110208
,Program or Algorithm Execution Problem,,A1103,Problem associated with execution problems relating to program or algorithm.,,,,A11|A1103
,,Delayed Program or Algorithm Execution,A110301,Problem associated with delayed execution relating to program or algorithm.,,,,A11|A1103|A110301
,,Intermittent Program or Algorithm Execution,A110302,Problem associated with intermittent execution relating to program or algorithm.,,,,A11|A1103|A110302
,,Program or Algorithm Execution Failure,A110303,Problem associated with the failure of a program or algorithm to execute. Sudden/unexpected interruption to a program's execution.,,,,A11|A1103|A110303
,Computer Operating System Problem,,A1104,"Problem associated with software, firmware, and/or hardware elements that control the execution of computer programs and provides such services as computer resource allocation, job control, input/output control, and file management in a computer system.",,,,A11|A1104
,,Operating System Becomes Nonfunctional,A110401,Problem associated with malfunction of the computer operating system as opposed to an application software problem.,,,,A11|A1104|A110401
,,Operating System Version or Upgrade Problem,A110402,Problem associated with replacing an older operating system to an up-to-date operating system.,,,,A11|A1104|A110402
,Computer System Security Problem,,A1105,"Problem associated with unauthorized access to or modification of a software system resulting in a loss of confidentiality, integrity, or availability of written program code, application software, or data or entire device.",,,,A11|A1105
,,Application Security Problem,A110501,"Problem associated with the acquisition of computer programming codes that can replicate and spread from one computer system to another thereby leading to damaged software, hardware and data.",,,,A11|A1105|A110501
,,Unauthorized Access to Computer System,A110502,"Problem associated with an access that was not permitted to the computer system that may lead to modification of program, corruption of data, or and break in network security. This concept is closely associated with computer integrity which is the degree to which a system or component prevents unauthorized access to, or modification of, computer programs or data.",,,,A11|A1105|A110502
,Data Back-Up Problem,,A1106,"Problems relating to a system, component, file, procedure, or person available to replace or help restore a primary item in the event of a failure or externally caused disaster.",,,,A11|A1106
,,Failure to Back-Up,A110601,Problem associated with the inability to backup or to retrieve a backed up version (corrupted file) of device data or system files.,,,,A11|A1106|A110601
,,Failure to Convert to Back-Up,A110602,"Problem associated with a failure to transition from a primary system, component, file, procedure to a backup in response to a failure in the primary item.",,,,A11|A1106|A110602
,Data Problem,,A1107,"Event in which data (charting, orders, results) is not correctly stored, transferred, updated, or displayed.",,,,A11|A1107
,,Loss of Data,A110701,"Event in which data is unintentionally permanently or temporarily lost, deleted, corrupted, or overwritten.",,,,A11|A1107|A110701
,,Patient Data Problem,A110702,Event in which data is accessed by the healthcare provider and either the wrong patient or the wrong data is retrieved despite correct inquiry procedures.,,,,A11|A1107|A110702
,Date/Time-Related Software Problem,,A1108,Problem associated with programming of calendar dates and/or time as a factor in the operation of the device.,,,,A11|A1108
Connection Problem,,,A12,"Problem associated with linking of the device and/or the functional units set up to provide means for a transfer of liquid, gas, electricity or data.",,,,A12
,Blocked Connection,,A1201,"Problem associated with linking of the device whereby their functional units set up to provide means for a transfer of fluid, gas, or data is prevented or impeded.",,,,A12|A1201
,Decoupling,,A1202,"Problem associated with the device being unassociated in such a way that fluid, gas, power or signal information may not be transferred from one to another.",,,,A12|A1202
,Disconnection,,A1203,"Problem associated with the linking of the device having a sufficient open space to prevent gas, liquid or electrical current flow between connectors.",,,,A12|A1203
,Failure to Disconnect,,A1204,"Problem associated with the linking of the device whereby termination of the transfer of liquid, gas, electricity, or information cannot be accomplished, or linking components do not come apart, or disconnect, when expected.",,,,A12|A1204
,Loose or Intermittent Connection,,A1205,Problem associated with the connection of the device being loose or intermittent.,,,,A12|A1205
,Misconnection,,A1206,"Problem associated with the connection of the device being improper or not in accordance with device specification, requirements or intended uses.",,,,A12|A1206
,Incomplete or Inadequate Connection,,A1207,"Problem associated with a partial linking of the device whereby device may appear to be connected however only a partial, intermittent or no transfer of liquid, gas, electricity, or information can be accomplished.",,,,A12|A1207
,Fitting Problem,,A1208,"Problem associated with the connection of the device whereby channels, switching systems, and other functional units set up to provide means for a transfer of liquid, gas, electricity, or information do not match or fit.",,,,A12|A1208
Communication or Transmission Problem,,,A13,Problem associated with the device sending or receiving signals or data. This includes transmission among internal components of the device to which the device is intended to communicate.,,,,A13
,Failure to Read Input Signal,,A1301,Problem associated with a failure of the device to read a signal for interpretation or measurement.,,,,A13|A1301
,Failure to Transmit Record,,A1302,Problem associated with a failure of the device to transmit a record for interpretation or measurement.,,,,A13|A1302
,Intermittent Communication Failure,,A1303,Inconsistent or lack of intended communication of data among internal components or with other external devices.,,,,A13|A1303
,Telemetry Discrepancy,,A1304,Problem associated with variability of the transmission of telemetry signals.,,,,A13|A1304
,Wireless Communication Problem,,A1305,"Problems with the RF wireless technology characteristics and performance (e.g., frequency, output power, range, reception), wireless quality of service, wireless coexistence, security of wireless signals and data, and electromagnetic compatibility.",,,,A13|A1305
Infusion or Flow Problem,,,A14,"Problem associated with the device failing to deliver or draw liquids or gases as intended (e.g. delivering drugs at incorrect rate, Problems with drawing fluid from a system). This includes vacuum collection devices.",,Modified (technical),Technical change to the definition on 18 March 2020 to include vacuum collection devices.,A14
,Deflation Problem,,A1401,Problem associated with the deflation of the device including unintended deflation or inadequate deflation.,,Modified (technical),Technical change to the definition on 18 March 2020 to accommodate additional level 3 terms.,A14|A1401
,,Failure to Deflate,A140101,Problem associated with the inability to deflate a device which is intended to deflate.,,New,Term was added on 18 March 2020 to differentiate between a failure to deflate and an unintended deflation.,A14|A1401|A140101
,,Unintended Deflation,A140102,Problem associated with the unintended deflation of a device which was not designed to deflate or not at that point in time or not to that extent.,,New,Term was added on 18 March 2020 to differentiate between a failure to deflate and an unintended deflation.,A14|A1401|A140102
,Excess Flow or Over-Infusion,,A1402,"Problem associated with a delivery overdose of therapeutic agents, such as drugs or fluids being delivered into a device or a patient.",,,,A14|A1402
,Filling Problem,,A1403,Problem associated with the method or amount of time associated with the delivery of a fluid. Time to delivery or amount of delivered entity may be affected.,,,,A14|A1403
,,Inability to Auto-Fill,A140301,"Complete failure to fill as part of an automated process. For insufficient filling use ""Short Fill"". For excessive filling use ""Overfill"". For inconsistent filling use ""Volume Accuracy Problem"".",,,,A14|A1403|A140301
,,Overfill,A140302,"Excessive filling of a device. For complete failure to fill use ""inability to auto-fill"". For insufficient filling use ""Short Fill"". For inconsistent filling use ""Volume Accuracy Problem"".",,,,A14|A1403|A140302
,,Short Fill,A140303,"Insufficient filling of a device. For complete failure to fill use ""inability to auto-fill"". For insufficient filling use ""short fill"". For inconsistent filling use ""Volume Accuracy Problem"".",,,,A14|A1403|A140303
,,Volume Accuracy Problem,A140304,"Inconsistent filling of a device. This describes a problem which is observed to vary between overfilling and under filling, and may be intermittent. Use ""Overfill"" or ""Short Fill"" if problem is consistent.",,,,A14|A1403|A140304
,Filtration Problem,,A1404,"Problem associated with the process of passing a substance through a porous medium, e.g., a blood clot filter for the removal of suspended matter.",,,,A14|A1404
,,Inadequate Filtration Process,A140401,Problem associated with the filter failing to remove items or substances which should have been removed.,,,,A14|A1404|A140401
,,Inadequate Ultra Filtration,A140402,Problem associated with the transfer of fluid between the blood and dialysate through the dialysis membrane due to a pressure gradient (trans-membrane pressure) existing between the blood and dialysate compartments.,,,,A14|A1404|A140402
,Improper Flow or Infusion,,A1405,"Problem associated with the regulation and delivery of therapeutic agents (e.g. air, gas, drugs or fluids into a device or a patient under positive pressure).",,,,A14|A1405
,,Backflow,A140501,"Continuous flow of fluid (e.g. liquid, gas) against the intended flow direction.",,,,A14|A1405|A140501
,,Free or Unrestricted Flow,A140502,"Problem associated with uncontrolled flow of infusion of air, gas or fluids.",,,,A14|A1405|A140502
,,Gradient Increase,A140503,"Problem associated with the increased rate of change in temperature, pressure, or other variables as a function of distance, time, etc.",,,,A14|A1405|A140503
,,Inaccurate Delivery,A140504,Delivery at endpoint not as intended; either too low or too high.,,,,A14|A1405|A140504
,,Inaccurate Flow Rate,A140505,"Problem associated with fluctuations in the flow volume delivered per time, even if end volume is correct, and delivered in the correct total time.",,,,A14|A1405|A140505
,,Intermittent Infusion,A140506,Problem associated with the infusion not being stead- characterised by intermittent stoppages to the flow.,,,,A14|A1405|A140506
,,Reflux within Device,A140507,"Problem associated with partial backflow, compromising the device's flow output.",,,,A14|A1405|A140507
,,Restricted Flow rate,A140508,Problem associated with flow rate. Flow volume delivered over time is not reaching intended flow rate.,,,,A14|A1405|A140508
,,Tidal Volume Fluctuations,A140509,Problem associated with the amount of gas that is inspired and expired during one respiratory cycle.,,,,A14|A1405|A140509
,Inflation Problem,,A1406,Problem associated with the inability of the device to expand or enlarge with the intended inflation agent (e.g. saline or air).,,,,A14|A1406
,Insufficient Flow or Under Infusion,,A1407,"Problem associated with an insufficient dose of therapeutic agents, e.g., drugs or fluids being delivered into a patient under positive pressure.",,,,A14|A1407
,No Flow,,A1408,Problem arising from the device failing to deliver the specified liquid or gas.,,,,A14|A1408
,,Failure to Deliver,A140801,Failure (=complete nonperformance) with regard to the intended function of delivery.,,,,A14|A1408|A140801
,,Failure to Infuse,A140802,Failure (=complete nonperformance) with regard to the intended function of infusion.,,,,A14|A1408|A140802
,,Inability to Irrigate,A140803,Failure (=complete nonperformance) with regard to the intended function of irrigation.,,,,A14|A1408|A140803
,Obstruction of Flow,,A1409,"Problem related to an obstruction or blockage within the device component (e.g. tube, opening, pipe) that results in restriction of flow (including blood clotting).",,Modified (technical),Technical change to the definition on 18 March 2020 to clarify that the term includes problems related to blood clotting.,A14|A1409
,,Complete Blockage,A140901,"Problem related to an obstruction or blockage within the device component (e.g. tube, opening, pipe) that results in no flow.",,,,A14|A1409|A140901
,,Partial Blockage,A140902,"Problem related to an obstruction or blockage within the device component (e.g. tube, opening, pipe) that results in a reduction of the flow rate.",,,,A14|A1409|A140902
,Difficult to Flush,,A1410,"The device is difficult to flush, possibly indicating an obstruction within device.",,,,A14|A1410
,Pressure Problem,,A1411,Problem associated with the application of a force either internal or external to device that compromises the flow of fluid or gas.,,,,A14|A1411
,,Decrease in Pressure,A141101,"Unintended decrease in pressure, compromising the device's intended function.",,,,A14|A1411|A141101
,,Increase in Pressure,A141102,"Unintended increase in pressure, compromising the device's intended function.",,,,A14|A1411|A141102
,,No Pressure,A141103,"Unintended complete loss of pressure, compromising the device's intended function.",,,,A14|A1411|A141103
,Pumping Problem,,A1412,Problem associated with pump performance deviating from specifications in a way to compromise flow or infusion.,,,,A14|A1412
,,Decreased Pump Speed,A141201,"Unintended decrease in pump speed and hence, probably, flow rate, compromising the intended function of the device.",,,,A14|A1412|A141201
,,Increased Pump Speed,A141202,"Unintended increase in pump speed and hence, probably, flow rate, compromising the intended function of the device.",,,,A14|A1412|A141202
,,Failure to Pump,A141203,Problem associated with the device which fails to start pumping.,,,,A14|A1412|A141203
,,Pumping Stopped,A141204,Unexpected/unintended cessation of pump.,,,,A14|A1412|A141204
,Suction Problem,,A1413,"Problem associated with suction equipment, which may be a manual, electrical, vacuum or pressure source operated to evacuate and remove undesired substances (air, gas, fluid, or particulates) via tubing and collection bag.",,,,A14|A1413
,,Decrease in Suction,A141301,Problem associated with the removal of fluid or gas from a body cavity or device due to decreased suction.,,Modified (technical),Technical change to the definition on 18 March 2020 to include removal of fluid or gas from a device.,A14|A1413|A141301
,,Increase in Suction,A141302,Problem associated with the removal of fluid or gas from a body cavity or device due to increased suction.,,Modified (technical),Technical change to the definition on 18 March 2020 to include removal of fluid or gas from a device.,A14|A1413|A141302
,,Suction Failure,A141303,Problem associated with the complete inability to provide suction.,,,,A14|A1413|A141303
,Priming Problem,,A1414,Problem associated with the preparation of the device to begin pumping.,,,,A14|A1414
,,Failure to Prime,A141401,Problem associated with the device failing to begin the priming process (i.e. the process of preparation of device for the delivery of fluids).,,,,A14|A1414|A141401
,,Incomplete or Inadequate Priming,A141402,Problem associated with not adequately preparing the device.,,,,A14|A1414|A141402
,Air/Gas in Device,,A1415,Problem associated with air in the device (e.g. air in line).,,New,"Term was added on 18 March 2020 as an additional level 2 term to ""Infusion or Flow Problem"".",A14|A1415
"Activation, Positioning or Separation Problem",,,A15,"Problem associated with any deviations from the documented specifications of the device that relate to the sequence of events for activation, positioning or separation of device. Note: Deployment is synonymous with activation.",,Modified (editorial),Editorial change to the term on 16 Feburary 2021.,A15
,Activation Problem,,A1501,Problem associated with the activation of the device. Note: Activation includes expansion.,,Modified (technical),Technical change to the definition on 18 March 2020 to clarify that activation includes expansion.,A15|A1501
,,Activation Failure,A150101,Problem associated with the device failing to be activated including partial activation.,,Modified (editorial),Editorial change to the definition on 18 March 2020.,A15|A1501|A150101
,,Difficult or Delayed Activation,A150102,Problem associated with delayed or difficult activation of the device.,,,,A15|A1501|A150102
,,Premature Activation,A150103,Problem associated with early and unexpected activation of the device.,,,,A15|A1501|A150103
,,Self-Activation or Keying,A150104,"Problem associated with the unintended activation of the device, or the device having been unexpectedly turned on during use.",,,,A15|A1501|A150104
,,Key or Button Unresponsive/not Working,A150105,Problem associated with a device not responding to key or button inputs.,,New,"Term was added on 18 March 2020 as an additional level 3 term to ""Activation Problem"".",A15|A1501|A150105
,Positioning Problem,,A1502,Problem associated with the movement of the device to an intended location.,,,,A15|A1502
,,Positioning Failure,A150201,Problem associated with the inability of the device to be positioned in a specified location.,,,,A15|A1502|A150201
,,Malposition of Device,A150202,Problem associated with the device being positioned in a location other than intended or specified.,,,,A15|A1502|A150202
,,Difficult or Delayed Positioning,A150203,Problem associated with users experiencing difficulty or delay to position the device to a specified location.,,,,A15|A1502|A150203
,,Failure to Advance,A150204,Problem associated with failure to move the device to an intended location.,,,,A15|A1502|A150204
,,Difficult to Advance,A150205,Problem associated with difficulty moving the device to an intended location (e.g. difficulty in advancing guide wire).,,,,A15|A1502|A150205
,,Difficult to Insert,A150206,"Problem associated with problems introducing or inserting the device, even if the user is operating the device in accordance with the instructions for use or labeling.",,,,A15|A1502|A150206
,,Difficult to Remove,A150207,"Problem associated with the user experiencing difficulty when taking out the device, even if the user is operating device in accordance with the instructions for use or labeling.",,Modified (editorial),Editorial change to the definition on 18 March 2020.,A15|A1502|A150207
,,Entrapment of Device,A150208,"Problem associated with the device caught within patient vasculature, tissue, or other device.",,,,A15|A1502|A150208
,Separation Problem,,A1503,Problem associated with the detachment or separation of the device.,,,,A15|A1503
,,Separation Failure,A150301,Problem associated with the device or one of its components failing to detach or separate as intended.,,,,A15|A1503|A150301
,,Difficult or Delayed Separation,A150302,Problem associated with users experiencing difficulty or delay with detachment or separation of the device.,,,,A15|A1503|A150302
,,Premature Separation,A150303,Problem associated with an early and unexpected detachment or separation of the device from the system.,,,,A15|A1503|A150303
Protective Measures Problem,,,A16,Problem associated with any deviations from the documented specifications of the device that relate to the implemented and inherited design features specific to devices used for reducing risks to patient or caregiver or maintaining risks within specified levels.,,,,A16
,Device Alarm System,,A1601,Problem associated with the alarm system of the device.,,,,A16|A1601
,,Alarm Not Visible,A160101,The device does not display an alarm message when required.,,,,A16|A1601|A160101
,,No Audible Alarm,A160102,The device fails to emit an audible alarm.,,,,A16|A1601|A160102
,,Low Audible Alarm,A160103,The audible device alarm cannot be heard clearly.,,,,A16|A1601|A160103
,,Delayed Alarm,A160104,The device alarm system operates with delay.,,,,A16|A1601|A160104
,,False Alarm,A160105,Problem associated with the device providing incorrect alarm warning or alert to user.,,,,A16|A1601|A160105
,,Defective Alarm,A160106,The device alarm does not operate as expected and/or in agreement with device's specifications.,,,,A16|A1601|A160106
,Fail-Safe Problem,,A1602,Problem associated with the feature that prevents the unsafe use of the device.,,,,A16|A1602
,,Fail-Safe Did Not Operate,A160201,"Problem associated with the device fail-safe mechanism, which did not function or function in a non effective way, compromising safe use of the device.",,,,A16|A1602|A160201
,,No Fail-Safe Mechanism,A160202,"The device does not have a fail-safe mechanism, although such mechanism would be required for its appropriate and/or safe functioning.",,,,A16|A1602|A160202
,Failure of Device to Self-Test,,A1603,Problem associated with the device failing to perform an internal self-diagnostic process to ensure normal operation during or prior to use.,,,,A16|A1603
,Failure to Auto Stop,,A1604,Problem associated with the inability of device to turn itself off when the device is not in an operable condition.,,,,A16|A1604
,Reset Problem,,A1605,"Problem associated with setting a variable, register, or other storage location back to a prescribed state.",,,,A16|A1605
,,Failure to Reset,A160501,"Problem associated with the device failing to set a variable, register, or other storage location back to a prescribed state.",,,,A16|A1605|A160501
,,Failure to Zero,A160502,"Problem associated with the device failing to set a variable, register, or other storage location back to zero.",,,,A16|A1605|A160502
,,Inappropriate or Unexpected Reset,A160503,"Problem associated with the device setting a variable, register, or other storage location to an inappropriate or unexpected state.",,,,A16|A1605|A160503
,Premature Indicator Activation,,A1606,Problems with the activation of a protective measure indicator earlier than expected.,,,,A16|A1606
,,Premature Elective Replacement Indicator,A160601,Problems with the early or unexpected activation of the elective replacement indicator.,,,,A16|A1606|A160601
,,Premature End-of-Life Indicator,A160602,Problem with the early or unexpected activation of the end-of-life indicator.,,,,A16|A1606|A160602
,Shielding Failure,,A1607,"Problem associated with the device inability to act as a barrier for absorption of radiation energy in X-rays, gamma rays, etc.",,,,A16|A1607
Compatibility Problem,,,A17,"Problem associated with compatibility between device, patients or substances (medication, body fluid, etc.)",,,,A17
,Component or Accessory Incompatibility,,A1701,Problem associated with the incompatibility of any device while being operated in the same use environment thereby leading to a dysfunction between the devices.,,,,A17|A1701
,,Accessory Incompatible,A170101,"An accessory required for the intended purpose of the device appears incompatible with device, thus compromising the intended function of the device.",,,,A17|A1701|A170101
,,Component Incompatible,A170102,"A component required for the proper functioning of the device is not compatible with other components or subassemblies of the device, thus compromising the intended function of the device.",,,,A17|A1701|A170102
,Device-Device Incompatibility,,A1702,Problem associated with the incompatibility of two or more devices while being operated in the same use environment thereby leading to a dysfunction of more than one device.,,,,A17|A1702
,Measurement System Incompatibility,,A1703,"Problem associated with the incompatibility of the measurement systems between and/or within device systems that are inherent to the individual device thereby leading to miscalculated or mismatched measurements from those devices, e.g., international metric system versus U.S. measurement system.",,,,A17|A1703
,Unintended Compatibility,,A1704,Problem associated with the ability of two or more devices which are intended to be incompatible but are able to work or fit together.,,,,A17|A1704
Contamination /Decontamination Problem,,,A18,"Problem associated with the presence of any unexpected foreign substance found in the device, on its surface or in the package materials, which may affect performance or intended use of the device, or problem that compromise effective decontamination of the device.",,,,A18
,Contamination,,A1801,"Problem associated with the undesired introduction of impurities either chemical or microbiological in nature, or of foreign matter into or onto the device.",,Modified (technical),"Technical change to the term on 18 March 2020 to separate when/where contamination occurred from type of contamination (""During Use"" was removed). NOTE: This change affects all lower level terms (A180101 - A180105) which are also no longer limited to contamination during use.",A18|A1801
,,Biofilm coating in Device,A180101,Problem associated with the undesired introduction of a biofilm coating into or onto the device.,,,,A18|A1801|A180101
,,Contamination of Device Ingredient or Reagent,A180102,"Problem associated with the undesired introduction of impurities either chemical or microbiological in nature, or of foreign matter into or onto the device ingredient or reagent.",,,,A18|A1801|A180102
,,Device Contamination with Body Fluid,A180103,"Problem associated with the undesired presence of body fluid in/on the device, which are not part of the documented device specifications and requirements.",,,,A18|A1801|A180103
,,Device Contamination with Chemical or Other Material,A180104,Problem associated with contamination of the device with chemical substance or other non biologic material.,,,,A18|A1801|A180104
,,Microbial Contamination of Device,A180105,Problem associated with undesired microbial contamination of the device.,,,,A18|A1801|A180105
,Device Contaminated During Manufacture or Shipping,,A1802,"Problem associated with the presence of any unexpected foreign substance found on the surface or in the package materials, which may affect optimal performance for its intended use, and which occurred during manufacture or shipping.",,Modified (technical),Technical change to the definition on 18 March 2020 to clarify that contamination occurred during manufacture or shipping.,A18|A1802
,Device Reprocessing Problem,,A1803,"Problem associated with a failure during any step of reprocessing process (cleaning, disinfection, packaging, labeling, sterilization) of a used or opened from its original packaging, but unused, device.",,,,A18|A1803
,,Failure to Clean Adequately,A180301,"Problem associated with the failure of the device or operator to remove any visible soil, foreign material or organism deposits on the external surfaces, crevices, and joints of the device.",,,,A18|A1803|A180301
,,Failure to Disinfect,A180302,Failure to properly disinfect the device when reprocessing it.,,,,A18|A1803|A180302
,,Flushing Problem,A180303,Flushing process was not executed properly.,,,,A18|A1803|A180303
,,Problem with Removal of Enzymatic Cleaner,A180304,Enzymatic cleaner was not removed properly.,,,,A18|A1803|A180304
,,Problem with Sterilization,A180305,Device was not sterilized properly during reprocessing.,,,,A18|A1803|A180305
,,Residue After Decontamination,A180306,"Problem associated with the decontamination process not adequately removing unwanted visible soil, foreign material, or organism deposits.",,,,A18|A1803|A180306
