CODE,METS,MAJOR HEADING,SPECIFIC ACTIVITIES,
11529,2.3,occupation,"postal carrier, walking to deliver mail",
11530,2,occupation,"shoe repair, general",
11540,7.8,occupation,"shoveling, digging ditches",
11550,8.8,occupation,"shoveling, more than 16 lbs/minute, deep digging, vigorous effort",
11560,5,occupation,"shoveling, less than 10 lbs/minute, moderate effort",
11570,6.5,occupation,"shoveling, 10 to 15 lbs/minute, vigorous effort",
11580,1.5,occupation,"sitting tasks, light effort (e.g., office work, chemistry lab work, computer work, light assembly repair, watch repair, reading, desk work)",
11585,1.5,occupation,"sitting meetings, light effort, general, and/or with talking involved (e.g., eating at a business meeting)",
11590,2.5,occupation,"sitting tasks, moderate effort (e.g., pushing heavy levers, riding mower/forklift, crane operation)",
11593,2.8,occupation,"sitting, teaching stretching or yoga, or light effort exercise class",
11600,3,occupation,"standing tasks, light effort (e.g., bartending, store clerk, assembling, filing, duplicating, librarian, putting up a Christmas tree, standing and talking at work,",
11610,3,occupation,"standing, light/moderate effort (e.g., assemble/repair heavy parts, welding,stocking parts,auto repair,standing, packing boxes, nursing patient care)",
11615,4.5,occupation,"standing, moderate effort, lifting items continuously, 10 – 20 lbs, with limited walking or resting",
11620,3.5,occupation,"standing, moderate effort, intermittent lifting 50 lbs, hitch/twisting ropes",
11630,4.5,occupation,"standing, moderate/heavy tasks (e.g., lifting more than 50 lbs, masonry, painting, paper hanging)",
11708,5.3,occupation,"steel mill, moderate effort (e.g., fettling, forging, tipping molds)",
11710,8.3,occupation,"steel mill, vigorous effort (e.g., hand rolling, merchant mill rolling, removing slag, tending furnace)",
11720,2.3,occupation,"tailoring, cutting fabric",
11730,2.5,occupation,"tailoring, general",
11740,1.8,occupation,"tailoring, hand sewing",
11750,2.5,occupation,"tailoring, machine sewing",
11760,3.5,occupation,"tailoring, pressing",
11763,2,occupation,"tailoring, weaving, light effort (e.g., finishing operations, washing, dyeing, inspecting cloth, counting yards, paperwork)",
11765,4,occupation,"tailoring, weaving, moderate effort (e.g., spinning and weaving operations, delivering boxes of yam to spinners, loading of warp bean, pinwinding,",
,,,"conewinding, warping, cloth cutting)",
11766,6.5,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy loads",
11767,2,occupation,"Truch, driving delivery truck, taxi, shuttlebus, school bus",
11770,1.3,occupation,"typing, electric, manual or computer",
11780,6.3,occupation,"using heavy power tools such as pneumatic tools (e.g., jackhammers, drills)",
11790,8,occupation,"using heavy tools (not power) such as shovel, pick, tunnel bar, spade",
11791,2,occupation,"walking on job, less than 2.0 mph, very slow speed, in office or lab area",
11792,3.5,occupation,"walking on job, 3.0 mph, in office, moderate speed, not carrying anything",
11793,4.3,occupation,"walking on job, 3.5 mph, in office, brisk speed, not carrying anything",
11795,3.5,occupation,"walking on job, 2.5 mph, slow speed and carrying light objects less than 25 lbs",
11796,3,occupation,"walking, gathering things at work, ready to leave",
11797,3.8,occupation,"walking, 2.5 mph, slow speed, carrying heavy objects more than 25 lbs",
11800,4.5,occupation,"walking, 3.0 mph, moderately and carrying light objects less than 25 lbs",
11805,3.5,occupation,"walking, pushing a wheelchair",
11810,4.8,occupation,"walking, 3.5 mph, briskly and carrying objects less than 25 lbs",
11820,5,occupation,"walking or walk downstairs or standing, carrying objects about 25 to 49 lbs",
11830,6.5,occupation,"walking or walk downstairs or standing, carrying objects about 50 to 74 lbs",
11840,7.5,occupation,"walking or walk downstairs or standing, carrying objects about 75 to 99 lbs",
11850,8.5,occupation,"walking or walk downstairs or standing, carrying objects about 100 lbs or more",
11870,3,occupation,"working in scene shop, theater actor, backstage employee",
12010,6,running,jog/walk combination (jogging component of less than 10 minutes) (Taylor Code 180),
12020,7,running,"jogging, general",
12025,8,running,"jogging, in place",
12027,4.5,running,"jogging, on a mini-tramp",
12029,6,running,"Running, 4 mph (13 min/mile)",
12030,8.3,running,"running, 5 mph (12 min/mile)",
12040,9,running,"running, 5.2 mph (11.5 min/mile)",
12050,9.8,running,"running, 6 mph (10 min/mile)",
12060,10.5,running,"running, 6.7 mph (9 min/mile)",
12070,11,running,"running, 7 mph (8.5 min/mile)",
12080,11.5,running,"running, 7.5 mph (8 min/mile)",
12090,11.8,running,"running, 8 mph (7.5 min/mile)",
12100,12.3,running,"running, 8.6 mph (7 min/mile)",
12110,12.8,running,"running, 9 mph (6.5 min/mile)",
12120,14.5,running,"running, 10 mph (6 min/mile)",
12130,16,running,"running, 11 mph (5.5 min/mile)",
12132,19,running,"running, 12 mph (5 min/mile)",
12134,19.8,running,"running, 13 mph (4.6 min/mile)",
12135,23,running,"running, 14 mph (4.3 min/mile)",
12140,9,running,"running, cross country",
12150,8,running,"running, (Taylor code 200)",
12170,15,running,"running, stairs, up",
12180,10,running,"running, on a track, team practice",
12190,8,running,"running, training, pushing a wheelchair or baby carrier",
12200,13.3,running,"running, marathon",
13000,2.3,self care,"getting ready for bed, general, standing",
13009,1.8,self care,"sitting on toilet, eliminating while standing or squating",
13010,1.5,self care,"bathing, sitting",
13020,2.5,self care,"dressing, undressing, standing or sitting",
13030,1.5,self care,"eating, sitting",
13035,2,self care,"talking and eating or eating only, standing",
13036,1.5,self care,"taking medication, sitting or standing",
13040,2,self care,"grooming, washing hands, shaving, brushing teeth, putting on make-up, sitting or standing",
13045,2.5,self care,"hairstyling, standing",
13046,1.3,self care,"having hair or nails done by someone else, sitting",
13050,2,self care,"showering, toweling off, standing",
14010,2.8,sexual activity,"active, vigorous effort",
14020,1.8,sexual activity,"general, moderate effort",
14030,1.3,sexual activity,"passive, light effort, kissing, hugging",
15000,5.5,sports,"Alaska Native Games, Eskimo Olympics, general",
15010,4.3,sports,"archery, non-hunting",
15020,7,sports,"badminton, competitive (Taylor Code 450)",
15030,5.5,sports,"badminton, social singles and doubles, general",
15040,8,sports,"basketball, game (Taylor Code 490)",
15050,6,sports,"basketball, non-game, general (Taylor Code 480)",
15055,6.5,sports,"basketball, general",
15060,7,sports,"basketball, officiating (Taylor Code 500)",
15070,4.5,sports,"basketball, shooting baskets",
15072,9.3,sports,"basketball, drills, practice",
15075,7.8,sports,"basketball, wheelchair",
15080,2.5,sports,billiards,
15090,3,sports,bowling (Taylor Code 390),
15092,3.8,sports,"bowling, indoor, bowling alley",
15100,12.8,sports,"boxing, in ring, general",
15110,5.5,sports,"boxing, punching bag",
15120,7.8,sports,"boxing, sparring",
15130,7,sports,broomball,
15135,5.8,sports,"children’s games, adults playing (e.g., hopscotch, 4-square, dodgeball, playground apparatus, t-ball, tetherball, marbles, arcade games), moderate effort",
15138,6,sports,"cheerleading, gymnastic moves, competitive",
15140,4,sports,"coaching, football, soccer, basketball, baseball, swimming, etc.",
15142,8,sports,"coaching, actively playing sport with players",
15150,4.8,sports,"cricket, batting, bowling, fielding",
15160,3.3,sports,croquet,
15170,4,sports,curling,
15180,2.5,sports,"darts, wall or lawn",
15190,6,sports,"drag racing, pushing or driving a car",
15192,8.5,sports,"auto racing, open wheel",
15200,6,sports,fencing,
15210,8,sports,"football, competitive",
15230,8,sports,"football, touch, flag, general (Taylor Code 510)",
15232,4,sports,"football, touch, flag, light effort",
15235,2.5,sports,"football or baseball, playing catch",
15240,3,sports,"frisbee playing, general",
15250,8,sports,"frisbee, ultimate",
15255,4.8,sports,"golf, general",
15265,4.3,sports,"golf, walking, carrying clubs",
15270,3,sports,"golf, miniature, driving range",
15285,5.3,sports,"golf, walking, pulling clubs",
15290,3.5,sports,"golf, using power cart (Taylor Code 070)",
15300,3.8,sports,"gymnastics, general",
15310,4,sports,hacky sack,
15320,12,sports,"handball, general (Taylor Code 520)",
15330,8,sports,"handball, team",
15335,4,sports,"high ropes course, multiple elements",
15340,3.5,sports,hang gliding,
15350,7.8,sports,"hockey, field",
15360,8,sports,"hockey, ice, general",
15362,10,sports,"hockey, ice, competitive",
15370,5.5,sports,"horseback riding, general",
15375,4.3,sports,"horse chores, feeding, watering, cleaning stalls, implied walking and lifting loads",
15380,4.5,sports,"saddling, cleaning, grooming, harnessing and unharnessing horse",
15390,5.8,sports,"horseback riding, trotting",
15395,7.3,sports,"horseback riding, canter or gallop",
15400,3.8,sports,"horseback riding,walking",
15402,9,sports,"horseback riding, jumping",
15408,1.8,sports,"horse cart, driving, standing or sitting",
15410,3,sports,"horseshoe pitching, quoits",
15420,12,sports,jai alai,
15425,5.3,sports,"martial arts, different types, slower pace, novice performers, practice",
15430,10.3,sports,"martial arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwan do, tai-bo, Muay Thai boxing)",
15440,4,sports,juggling,
15450,7,sports,kickball,
15460,8,sports,lacrosse,
15465,3.3,sports,"lawn bowling, bocce ball, outdoor",
15470,4,sports,"moto-cross, off-road motor sports, all-terrain vehicle, general",
15480,9,sports,orienteering,
15490,10,sports,"paddleball, competitive",
15500,6,sports,"paddleball, casual, general (Taylor Code 460)",
15510,8,sports,"polo, on horseback",
15520,10,sports,"racquetball, competitive",
15530,7,sports,"racquetball, general (Taylor Code 470)",
15533,8,sports,rock or mountain climbing (Taylor Code 470) (Formerly code = 17120),
15535,7.5,sports,"rock climbing, ascending rock, high difficulty",
15537,5.8,sports,"rock climbing, ascending or traversing rock, low-to-moderate difficulty",
15540,5,sports,"rock climbing, rappelling",
15542,4,sports,"rodeo sports, general, light effort",
15544,5.5,sports,"rodeo sports, general, moderate effort",
15546,7,sports,"rodeo sports, general, vigorous effort",
15550,12.3,sports,"rope jumping, fast pace, 120-160 skips/min",
15551,11.8,sports,"rope jumping, moderate pace, 100-120 skips/min, general,","2 foot skip, plain bounce"
15552,8.8,sports,"rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce",
15560,8.3,sports,"rugby, union, team, competitive",
15562,6.3,sports,"rugby, touch, non-competitive",
15570,3,sports,shuffleboard,
15580,5,sports,"skateboarding, general, moderate effort",
15582,6,sports,"skateboarding, competitive, vigorous effort",
15590,7,sports,"skating, roller (Taylor Code 360)",
15591,7.5,sports,"rollerblading, in-line skating, 14.4 km/h (9.0 mph), recreational pace",
15592,9.8,sports,"rollerblading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training",
15593,12.3,sports,"rollerblading, in-line skating, 21.0 to 21.7 km/h (13.0 to 13.6 mph), fast pace, exercise training",
15594,14,sports,"rollerblading, in-line skating, 24.0 km/h (15.0 mph), maximal effort",
15600,3.5,sports,"skydiving, base jumping, bungee jumping",
15605,10,sports,"soccer, competitive",
15610,7,sports,"soccer, casual, general (Taylor Code 540)",
15620,5,sports,"softball or baseball, fast or slow pitch, general (Taylor Code 440)",
15625,4,sports,"softball, practice",
15630,4,sports,"softball, officiating",
15640,6,sports,"softball,pitching",
15645,3.3,sports,"sports spectator, very excited, emotional, physically moving",
15650,12,sports,squash (Taylor Code 530),
15652,7.3,sports,"squash, general",
15660,4,sports,"table tennis, ping pong (Taylor Code 410)",
15670,3,sports,"tai chi, qi gong, general",
15672,1.5,sports,"tai chi, qi gong, sitting, light effort",
15675,7.3,sports,"tennis, general",
15680,6,sports,"tennis, doubles (Taylor Code 430)",
15685,4.5,sports,"tennis, doubles",
15690,8,sports,"tennis, singles (Taylor Code 420)",
15695,5,sports,"tennis, hitting balls, non-game play, moderate effort",
15700,3.5,sports,"trampoline, recreational",
15702,4.5,sports,"trampoline, competitive",
15710,4,sports,volleyball (Taylor Code 400),
15711,6,sports,"volleyball, competitive, in gymnasium",
15720,3,sports,"volleyball, non-competitive, 6 - 9 member team, general",
15725,8,sports,"volleyball, beach, in sand",
15730,6,sports,wrestling (one match = 5 minutes),
15731,7,sports,"wallyball, general",
15732,4,sports,"track and field (e.g., shot, discus, hammer throw)",
15733,6,sports,"track and field (e.g., high jump, long jump, triple jump, javelin, pole vault)",
15734,10,sports,"track and field (e.g., steeplechase, hurdles)",
16010,2.5,transportation,automobile or light truck (not a semi) driving,
16015,1.3,transportation,riding in a car or truck,
16016,1.3,transportation,riding in a bus or train,
16020,1.8,transportation,flying airplane or helicopter,
16030,3.5,transportation,"motor scooter, motorcycle",
16035,6.3,transportation,pulling rickshaw,
16040,6,transportation,pushing plane in and out of hangar,
16050,2.5,transportation,"truck, semi, tractor, > 1 ton, or bus, driving",
16060,3.5,transportation,"walking for transportation, 2.8-3.2 mph, level, moderate pace, firm surface",
17010,7,walking,backpacking (Taylor Code 050),
17012,7.8,walking,"backpacking, hiking or organized walking with a daypack",
17020,5,walking,"carrying 15 pound load (e.g. suitcase), level ground or downstairs",
17021,2.3,walking,"carrying 15 lb child, slow walking",
17025,8.3,walking,"carrying load upstairs, general",
17026,5,walking,"carrying 1 to 15 lb load, upstairs",
17027,6,walking,"carrying 16 to 24 lb load, upstairs",
17028,8,walking,"carrying 25 to 49 lb load, upstairs",
17029,10,walking,"carrying 50 to 74 lb load, upstairs",
17030,12,walking,"carrying > 74 lb load, upstairs",
17031,3.5,walking,"loading /unloading a car, implied walking",
17033,6.3,walking,"climbing hills, no load",
17035,6.5,walking,climbing hills with 0 to 9 lb load,
17040,7.3,walking,climbing hills with 10 to 20 lb load,
17050,8.3,walking,climbing hills with 21 to 42 lb load,
17060,9,walking,climbing hills with 42+ lb load,
17070,3.5,walking,descending stairs,
17080,6,walking,"hiking, cross country (Taylor Code 040)",
17082,5.3,walking,hiking or walking at a normal pace through fields and hillsides,
17085,2.5,walking,"bird watching, slow walk",
17088,4.5,walking,"marching, moderate speed, military, no pack",
17090,8,walking,"marching rapidly, military, no pack",
17100,4,walking,"pushing or pulling stroller with child or walking with children, 2.5 to 3.1 mph",
17105,3.8,walking,"pushing a wheelchair, non-occupational",
17110,6.5,walking,race walking,
17130,8,walking,"stair climbing, using or climbing up ladder (Taylor Code 030)",
17133,4,walking,"stair climbing, slow pace",
17134,8.8,walking,"stair climbing, fast pace",
17140,5,walking,using crutches,
17150,2,walking,"walking, household",
17151,2,walking,"walking, less than 2.0 mph, level, strolling, very slow",
17152,2.8,walking,"walking, 2.0 mph, level, slow pace, firm surface",
17160,3.5,walking,walking for pleasure (Taylor Code 010),
17161,2.5,walking,"walking from house to car or bus, from car or bus to go places, from car or bus to and from the worksite",
17162,2.5,walking,walking to neighbor’s house or family’s house for social reasons,
17165,3,walking,walking the dog,
17170,3,walking,"walking, 2.5 mph, level, firm surface",
17180,3.3,walking,"walking, 2.5 mph, downhill",
17190,3.5,walking,"walking, 2.8 to 3.2 mph, level, moderate pace, firm surface",
17200,4.3,walking,"walking, 3.5 mph, level, brisk, firm surface, walking for exercise",
17210,5.3,walking,"walking, 2.9 to 3.5 mph, uphill, 1 to 5% grade",
17211,8,walking,"walking, 2.9 to 3.5 mph, uphill, 6% to 15% grade",
17220,5,walking,"walking, 4.0 mph, level, firm surface, very brisk pace",
17230,7,walking,"walking, 4.5 mph, level, firm surface, very, very brisk",
17231,8.3,walking,"walking, 5.0 mph, level, firm surface",
17235,9.8,walking,"walking, 5.0 mph, uphill, 3% grade",
17250,3.5,walking,"walking, for pleasure, work break",
17260,4.8,walking,"walking, grass track",
17262,4.5,walking,"walking, normal pace, plowed field or sand",
17270,4,walking,"walking, to work or class (Taylor Code 015)",
17280,2.5,walking,"walking, to and from an outhouse",
17302,4.8,walking,"walking, for exercise, 3.5 to 4 mph, with ski poles, Nordic walking, level, moderate pace",
17305,9.5,walking,"walking, for exercise, 5.0 mph, with ski poles, Nordic walking, level, fast pace",
17310,6.8,walking,"walking, for exercise, with ski poles, Nordic walking, uphill",
17320,6,walking,"walking, backwards, 3.5 mph, level",
17325,8,walking,"walking, backwards, 3.5 mph, uphill, 5% grade",
18010,2.5,water activities,"boating, power, driving",
18012,1.3,water activities,"boating, power, passenger, light",
18020,4,water activities,"canoeing, on camping trip (Taylor Code 270)",
18025,3.3,water activities,"canoeing, harvesting wild rice, knocking rice off the stalks",
18030,7,water activities,"canoeing, portaging",
18040,2.8,water activities,"canoeing, rowing, 2.0-3.9 mph, light effort",
18050,5.8,water activities,"canoeing, rowing, 4.0-5.9 mph, moderate effort",
18060,12.5,water activities,"canoeing, rowing, kayaking, competition, >6 mph, vigorous effort",
18070,3.5,water activities,"canoeing, rowing, for pleasure, general (Taylor Code 250)",
18080,12,water activities,"canoeing, rowing, in competition, or crew or sculling (Taylor Code 260)",
18090,3,water activities,"diving, springboard or platform",
18100,5,water activities,"kayaking, moderate effort",
18110,4,water activities,paddle boat,
18120,3,water activities,"sailing, boat and board sailing, windsurfing, ice sailing, general (Taylor Code 235)",
18130,4.5,water activities,"sailing, in competition",
18140,3.3,water activities,"sailing, Sunfish/Laser/Hobby Cat, Keel boats, ocean sailing, yachting, leisure",
18150,6,water activities,"skiing, water or wakeboarding (Taylor Code 220)",
18160,7,water activities,"jet skiing, driving, in water",
18180,15.8,water activities,"skindiving, fast",
18190,11.8,water activities,"skindiving, moderate",
18200,7,water activities,"skindiving, scuba diving, general (Taylor Code 310)",
18210,5,water activities,snorkeling (Taylor Code 310),
18220,3,water activities,"surfing, body or board, general",
18222,5,water activities,"surfing, body or board, competitive",
18225,6,water activities,"paddle boarding, standing",
18230,9.8,water activities,"swimming laps, freestyle, fast, vigorous effort",
18240,5.8,water activities,"swimming laps, freestyle, front crawl, slow, light or moderate effort",
18250,9.5,water activities,"swimming, backstroke, general, training or competition",
18255,4.8,water activities,"swimming, backstroke, recreational",
18260,10.3,water activities,"swimming, breaststroke, general, training or competition",
18265,5.3,water activities,"swimming, breaststroke, recreational",
18270,13.8,water activities,"swimming, butterfly, general",
18280,10,water activities,"swimming, crawl, fast speed, ~75 yards/minute, vigorous effort",
18290,8.3,water activities,"swimming, crawl, medium speed, ~50 yards/minute, vigorous effort",
18300,6,water activities,"swimming, lake, ocean, river (Taylor Codes 280, 295)",
18310,6,water activities,"swimming, leisurely, not lap swimming, general",
18320,7,water activities,"swimming, sidestroke, general",
18330,8,water activities,"swimming, synchronized",
18340,9.8,water activities,"swimming, treading water, fast, vigorous effort",
18350,3.5,water activities,"swimming, treading water, moderate effort, general",
18352,2.3,water activities,"tubing, floating on a river, general",
18355,5.5,water activities,"water aerobics, water calisthenics",
18360,10,water activities,water polo,
18365,3,water activities,water volleyball,
18366,9.8,water activities,water jogging,
18367,2.5,water activities,"water walking, light effort, slow pace",
18368,4.5,water activities,"water walking, moderate effort, moderate pace",
18369,6.8,water activities,"water walking, vigorous effort, brisk pace",
18370,5,water activities,"whitewater rafting, kayaking, or canoeing",
18380,5,water activities,"windsurfing, not pumping for speed",
18385,11,water activities,"windsurfing or kitesurfing, crossing trial",
18390,13.5,water activities,"windsurfing, competition, pumping for speed",
19005,7.5,winter activities,"dog sledding, mushing",
19006,2.5,winter activities,"dog sledding, passenger",
19010,6,winter activities,"moving ice house, set up/drill holes",
19011,2,winter activities,"ice fishing, sitting",
19018,14,winter activities,"skating, ice dancing",
19020,5.5,winter activities,"skating, ice, 9 mph or less",
19030,7,winter activities,"skating, ice, general (Taylor Code 360)",
19040,9,winter activities,"skating, ice, rapidly, more than 9 mph, not competitive",
19050,13.3,winter activities,"skating, speed, competitive",
19060,7,winter activities,"ski jumping, climb up carrying skis",
19075,7,winter activities,"skiing, general",
19080,6.8,winter activities,"skiing, cross country, 2.5 mph, slow or light effort, ski walking",
19090,9,winter activities,"skiing, cross country, 4.0-4.9 mph, moderate speed and effort, general",
19100,12.5,winter activities,"skiing, cross country, 5.0-7.9 mph, brisk speed, vigorous effort",
19110,15,winter activities,"skiing, cross country, >8.0 mph, elite skier, racing",
19130,15.5,winter activities,"skiing, cross country, hard snow, uphill, maximum, snow mountaineering",
19135,13.3,winter activities,"skiing, cross-country, skating",
19140,13.5,winter activities,"skiing, cross-country, biathlon, skating technique",
19150,4.3,winter activities,"skiing, downhill, alpine or snowboarding, light effort, active time only",
19160,5.3,winter activities,"skiing, downhill, alpine or snowboarding, moderate effort, general, active time only",
19170,8,winter activities,"skiing, downhill, vigorous effort, racing",
19175,12.5,winter activities,"skiing, roller, elite racers",
19180,7,winter activities,"sledding, tobogganing, bobsledding, luge (Taylor Code 370)",
19190,5.3,winter activities,"snow shoeing, moderate effort",
19192,10,winter activities,"snow shoeing, vigorous effort",
19200,3.5,winter activities,"snowmobiling, driving, moderate",
19202,2,winter activities,"snowmobiling, passenger",
19252,5.3,winter activities,"snow shoveling, by hand, moderate effort",
19254,7.5,winter activities,"snow shoveling, by hand, vigorous effort",
19260,2.5,winter activities,"snow blower, walking and pushing",
20000,1.3,religious activities,"sitting in church, in service, attending a ceremony, sitting quietly",
20001,2,religious activities,"sitting, playing an instrument at church",
20005,1.8,religious activities,"sitting in church, talking or singing, attending a ceremony, sitting, active participation",
20010,1.3,religious activities,"sitting, reading religious materials at home",
20015,1.3,religious activities,"standing quietly in church, attending a ceremony",
20020,2,religious activities,"standing, singing in church, attending a ceremony, standing, active participation",
20025,1.3,religious activities,"kneeling in church or at home, praying",
20030,1.8,religious activities,"standing, talking in church",
20035,2,religious activities,walking in church,
20036,2,religious activities,"walking, less than 2.0 mph, very slow",
20037,3.5,religious activities,"walking, 3.0 mph, moderate speed, not carrying anything",
20038,4.3,religious activities,"walking, 3.5 mph, brisk speed, not carrying anything",
20039,2,religious activities,"walk/stand combination for religious purposes, usher",
20040,5,religious activities,"praise with dance or run, spiritual dancing in church",
20045,2.5,religious activities,serving food at church,
20046,2,religious activities,preparing food at church,
20047,3.3,religious activities,"washing dishes, cleaning kitchen at church",
20050,1.5,religious activities,eating at church,
20055,2,religious activities,"eating/talking at church or standing eating, American Indian Feast days",
20060,3.3,religious activities,cleaning church,
20061,4,religious activities,general yard work at church,
20065,3.5,religious activities,"standing, moderate effort (e.g., lifting heavy objects, assembling at fast rate)",
20095,4.5,religious activities,"Standing, moderate-to-heavy effort, manual labor, lifting ≥ 50 lbs, heavy maintenance",
20100,1.3,religious activities,"typing, electric, manual, or computer",
21000,1.5,volunteer activities,"sitting, meeting, general, and/or with talking involved",
21005,1.5,volunteer activities,"sitting, light office work, in general",
21010,2.5,volunteer activities,"sitting, moderate work",
21015,2.3,volunteer activities,"standing, light work (filing, talking, assembling)",
21016,2,volunteer activities,"sitting, child care, only active periods",
21017,3,volunteer activities,"standing, child care, only active periods",
21018,3.5,volunteer activities,"walk/run play with children, moderate, only active periods",
21019,5.8,volunteer activities,"walk/run play with children, vigorous, only active periods",
21020,3,volunteer activities,"standing, light/moderate work (e.g., pack boxes, assemble/repair, set up chairs/furniture)",
21025,3.5,volunteer activities,"standing, moderate (lifting 50 lbs., assembling at fast rate)",
21030,4.5,volunteer activities,"standing, moderate/heavy work",
21035,1.3,volunteer activities,"typing, electric, manual, or computer",
21040,2,volunteer activities,"walking, less than 2.0 mph, very slow",
21045,3.5,volunteer activities,"walking, 3.0 mph, moderate speed, not carrying anything",
21050,4.3,volunteer activities,"walking, 3.5 mph, brisk speed, not carrying anything",
21055,3.5,volunteer activities,"walking, 2.5 mph slowly and carrying objects less than 25 lbs",
21060,4.5,volunteer activities,"walking, 3.0 mph moderately and carrying objects less than 25 lbs, pushing something",
21065,4.8,volunteer activities,"walking, 3.5 mph, briskly and carrying objects less than 25 lbs",
21070,3,volunteer activities,"walk/stand combination, for volunteer purposes",
